YEAR,PRIM_STATE,AREA,AREA_NAME,OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC QUOTIENT,H_MEAN,A_MEAN,MEAN_PRSE,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,ANNUAL,HOURLY
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",00-0000,All Occupations,total,"1,133,350",1.1,1000.000,1.00,25.94,"53,960",2.1,10.53,13.33,19.89,31.63,48.41,"21,910","27,720","41,370","65,800","100,700",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-0000,Management Occupations,major,"77,460",2.6,68.345,1.35,53.83,"111,970",2.4,23.54,32.30,46.83,64.70,93.57,"48,960","67,180","97,420","134,580","194,630",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-1011,Chief Executives,detailed,"1,890",8.2,1.667,1.05,95.55,"198,750",5.6,40.17,57.51,88.41,#,#,"83,560","119,610","183,890",#,#,,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-1021,General and Operations Managers,detailed,"21,130",2.9,18.643,1.20,54.45,"113,260",2.0,21.74,29.08,43.29,67.44,#,"45,210","60,480","90,050","140,280",#,,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-1031,Legislators,detailed,70,7.0,0.060,0.16,*,"69,900",19.1,*,*,*,*,*,"19,420","20,200","53,010","92,630","144,530",TRUE,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-2011,Advertising and Promotions Managers,detailed,**,**,**,**,41.86,"87,070",5.8,20.16,26.95,35.91,48.50,70.54,"41,920","56,050","74,700","100,880","146,730",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-2021,Marketing Managers,detailed,"4,130",7.4,3.646,2.49,59.81,"124,400",4.0,29.09,40.18,55.46,73.48,95.67,"60,510","83,580","115,350","152,830","199,000",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-2022,Sales Managers,detailed,"4,950",5.3,4.367,1.68,58.99,"122,710",4.3,26.03,35.95,53.89,73.79,98.11,"54,130","74,780","112,090","153,480","204,060",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-2031,Public Relations and Fundraising Managers,detailed,"1,110",7.8,0.980,2.15,45.98,"95,640",3.8,26.15,32.92,40.50,52.00,72.07,"54,400","68,470","84,250","108,160","149,900",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3011,Administrative Services Managers,detailed,"2,260",5.2,1.991,1.05,42.56,"88,520",1.6,23.45,30.15,39.22,51.85,64.45,"48,780","62,720","81,580","107,860","134,050",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3021,Computer and Information Systems Managers,detailed,"4,160",5.9,3.669,1.46,63.66,"132,420",4.2,36.34,46.45,59.19,75.48,95.13,"75,590","96,630","123,110","157,000","197,870",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3031,Financial Managers,detailed,"5,430",5.0,4.794,1.24,59.25,"123,250",2.8,29.68,40.01,53.47,69.10,96.20,"61,730","83,220","111,220","143,720","200,100",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3051,Industrial Production Managers,detailed,"1,820",5.2,1.610,1.34,45.43,"94,480",2.6,27.10,32.89,40.78,51.83,67.52,"56,370","68,400","84,830","107,810","140,440",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3061,Purchasing Managers,detailed,**,**,**,**,50.66,"105,370",3.1,27.69,35.25,46.36,62.12,78.21,"57,590","73,320","96,430","129,220","162,670",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3071,"Transportation, Storage, and Distribution Managers",detailed,"1,270",15.9,1.125,1.39,45.29,"94,210",2.4,25.94,33.75,41.85,51.78,67.69,"53,950","70,200","87,050","107,710","140,790",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3111,Compensation and Benefits Managers,detailed,130,12.3,0.115,1.06,49.44,"102,840",2.7,32.87,41.06,48.27,58.14,67.11,"68,380","85,410","100,390","120,920","139,590",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3121,Human Resources Managers,detailed,"1,810",11.3,1.600,1.73,52.44,"109,070",3.1,26.91,33.59,46.66,63.47,80.93,"55,980","69,860","97,050","132,020","168,340",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-3131,Training and Development Managers,detailed,310,16.2,0.275,1.17,54.81,"114,000",3.5,32.90,38.69,51.09,63.56,81.17,"68,430","80,480","106,260","132,210","168,830",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,70,43.1,0.059,1.81,15.83,"32,930",18.6,9.55,9.59,9.65,20.94,27.13,"19,860","19,940","20,080","43,560","56,430",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9021,Construction Managers,detailed,"3,190",7.0,2.817,1.58,47.92,"99,670",2.3,29.83,36.67,45.46,56.48,71.34,"62,050","76,280","94,570","117,470","148,390",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9031,"Education Administrators, Preschool and Childcare Center/Program",detailed,470,11.7,0.415,1.20,20.87,"43,410",4.8,14.28,16.65,19.84,23.20,30.23,"29,700","34,630","41,270","48,270","62,880",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9032,"Education Administrators, Elementary and Secondary School",detailed,"1,960",5.4,1.728,1.00,*,"98,920",2.7,*,*,*,*,*,"52,230","88,130","106,670","120,510","128,780",TRUE,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9033,"Education Administrators, Postsecondary",detailed,860,6.2,0.754,0.77,48.20,"100,250",4.7,25.72,31.79,42.86,57.00,79.87,"53,500","66,130","89,140","118,560","166,130",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9039,"Education Administrators, All Other",detailed,280,12.0,0.246,1.01,30.13,"62,660",3.8,17.59,22.32,27.86,33.91,51.59,"36,580","46,430","57,940","70,540","107,310",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9041,Architectural and Engineering Managers,detailed,"3,500",20.2,3.088,2.43,78.72,"163,730",11.6,46.11,55.71,68.85,91.85,#,"95,910","115,870","143,200","191,040",#,,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9051,Food Service Managers,detailed,"2,330",10.8,2.052,1.43,26.24,"54,580",5.4,13.90,19.47,24.12,30.02,37.60,"28,910","40,500","50,180","62,440","78,220",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9081,Lodging Managers,detailed,170,31.5,0.151,0.60,26.73,"55,600",8.0,13.30,16.22,24.84,34.16,39.40,"27,670","33,730","51,670","71,050","81,940",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9111,Medical and Health Services Managers,detailed,"2,620",4.5,2.316,0.98,58.04,"120,720",4.3,27.97,35.92,49.58,68.66,#,"58,170","74,720","103,120","142,800",#,,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9121,Natural Sciences Managers,detailed,690,8.3,0.612,1.57,60.85,"126,560",7.0,37.41,45.83,54.27,63.92,93.81,"77,810","95,320","112,890","132,960","195,130",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9131,Postmasters and Mail Superintendents,detailed,60,0.0,0.056,0.53,37.20,"77,380",1.4,29.49,31.98,34.97,40.07,47.37,"61,350","66,510","72,730","83,350","98,520",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9141,"Property, Real Estate, and Community Association Managers",detailed,"1,610",12.5,1.419,1.11,35.31,"73,440",4.2,18.61,22.20,31.37,44.53,59.52,"38,700","46,180","65,250","92,610","123,800",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9151,Social and Community Service Managers,detailed,"1,690",8.9,1.493,1.66,32.82,"68,260",3.3,19.77,24.21,31.00,38.31,48.15,"41,110","50,360","64,490","79,680","100,150",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9161,Emergency Management Directors,detailed,40,6.4,0.034,0.49,42.78,"88,980",3.0,27.35,31.33,42.97,50.97,61.53,"56,900","65,170","89,380","106,030","127,990",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",11-9199,"Managers, All Other",detailed,"5,550",3.4,4.897,1.70,46.15,"95,990",1.3,23.36,32.36,44.06,57.43,72.29,"48,580","67,300","91,650","119,460","150,370",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-0000,Business and Financial Operations Occupations,major,"63,530",2.7,56.056,1.08,34.63,"72,040",1.8,18.30,23.97,31.25,41.35,53.97,"38,050","49,860","65,000","86,000","112,270",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,60,28.6,0.055,0.58,25.34,"52,710",17.6,9.49,13.71,26.62,34.86,38.03,"19,730","28,520","55,370","72,500","79,110",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1021,"Buyers and Purchasing Agents, Farm Products",detailed,70,22.3,0.064,0.78,27.86,"57,950",3.0,20.02,24.32,27.73,31.61,36.89,"41,630","50,590","57,680","65,740","76,740",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1022,"Wholesale and Retail Buyers, Except Farm Products",detailed,"1,830",16.8,1.612,2.07,26.00,"54,080",3.6,14.76,17.64,23.89,31.62,41.80,"30,700","36,690","49,680","65,770","86,940",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",detailed,"2,510",6.1,2.219,1.05,30.61,"63,680",1.1,20.06,24.09,29.46,36.59,43.79,"41,710","50,110","61,280","76,100","91,080",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,"2,330",16.5,2.056,1.05,34.77,"72,330",4.5,21.14,26.70,34.07,41.77,50.36,"43,970","55,530","70,870","86,870","104,740",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1032,"Insurance Appraisers, Auto Damage",detailed,70,20.3,0.062,0.57,35.64,"74,120",1.8,27.80,31.63,35.50,39.36,45.22,"57,820","65,790","73,850","81,860","94,070",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1041,Compliance Officers,detailed,"1,600",8.0,1.412,0.72,34.05,"70,830",1.9,20.59,25.65,32.64,40.83,48.66,"42,830","53,340","67,900","84,930","101,220",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1051,Cost Estimators,detailed,"1,930",7.4,1.704,1.11,32.45,"67,490",2.4,17.07,24.29,31.64,39.13,48.29,"35,500","50,510","65,800","81,400","100,440",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1071,Human Resources Specialists,detailed,"4,650",5.1,4.104,1.10,30.09,"62,580",1.6,18.25,22.32,27.84,36.16,45.92,"37,960","46,430","57,900","75,220","95,520",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1075,Labor Relations Specialists,detailed,"1,000",8.8,0.878,1.55,36.89,"76,740",11.5,9.59,27.49,36.63,48.39,58.68,"19,950","57,180","76,190","100,660","122,060",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1081,Logisticians,detailed,**,**,**,**,35.27,"73,370",4.9,21.23,25.63,33.38,40.65,51.98,"44,160","53,300","69,440","84,550","108,110",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1111,Management Analysts,detailed,"4,190",8.3,3.701,0.81,42.54,"88,470",2.4,25.07,31.17,39.11,49.79,68.66,"52,140","64,830","81,350","103,560","142,810",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1121,"Meeting, Convention, and Event Planners",detailed,"1,070",14.7,0.944,1.38,24.00,"49,920",4.1,15.97,18.26,22.63,28.14,34.79,"33,220","37,980","47,070","58,530","72,350",,
2016,OR,38900,"Portland-Vancouver-Hillsboro, OR-WA",13-1131,Fundraisers,detailed,680,13.8,0.599,1.22,24.52,"50,990",3.5,15.61,18.13,22.91,30.44,36.91,"32,480","37,710","47,650","63,320","76,780",,
