"","naics","high","uppermiddle","lowermiddle","low"
"1","110000",0.214,0.059,0.71,0.013
"2","111000",0.214,0.048,0.733,0.005
"3","112000",0.279,0.036,0.661,0.023
"4","113000",0.026,0.122,0.854,0
"5","1131-2",0.07,0.31,0.608,0
"6","113300",0.013,0.061,0.926,0
"7","114000",0.163,0.124,0.708,0.005
"8","115000",0.127,0.162,0.641,0.07
"9","210000",0.138,0.553,0.308,0.001
"10","211000",0.317,0.401,0.279,0.002
"11","212000",0.071,0.536,0.394,0
"12","212100",0.062,0.621,0.317,0
"13","212200",0.109,0.612,0.277,0
"14","212300",0.059,0.425,0.515,0
"15","213000",0.088,0.63,0.281,0.001
"16","220000",0.2,0.414,0.385,0
"17","221000",0.2,0.414,0.385,0
"18","221100",0.215,0.435,0.349,0
"19","221200",0.194,0.412,0.396,0
"20","221300",0.09,0.247,0.663,0
"21","230000",0.076,0.748,0.176,0
"22","236000",0.134,0.688,0.178,0
"23","236100",0.098,0.694,0.207,0
"24","236200",0.168,0.682,0.132,0
"25","237000",0.089,0.605,0.194,0.001
"26","237100",0.079,0.745,0.121,0
"27","237130",0.093,0.772,0.095,0
"28","237200",0.257,0.328,0.299,0.015
"29","237300",0.076,0.735,0.188,0
"30","237900",0.073,0.685,0.131,0.001
"31","238000",0.051,0.776,0.171,0
"32","238100",0.046,0.806,0.148,0
"33","238110",0.04,0.856,0.102,0
"34","238140",0.035,0.874,0.089,0
"35","238160",0.051,0.811,0.137,0
"36","238200",0.059,0.777,0.16,0
"37","238210",0.064,0.81,0.126,0
"38","238220",0.061,0.755,0.185,0
"39","238290",0.068,0.733,0.199,0
"40","238300",0.04,0.804,0.154,0
"41","238310",0.036,0.876,0.089,0
"42","238320",0.033,0.88,0.086,0
"43","238900",0.048,0.7,0.252,0
"44","31-330",0.147,0.121,0.728,0.004
"45","311000",0.041,0.092,0.843,0.023
"46","311100",0.073,0.118,0.809,0
"47","311200",0.081,0.168,0.753,0
"48","311300",0.051,0.113,0.822,0.013
"49","311400",0.049,0.129,0.815,0.007
"50","311500",0.057,0.129,0.801,0.015
"51","311600",0.021,0.071,0.907,0.001
"52","311700",0.034,0.063,0.88,0.023
"53","311800",0.037,0.056,0.831,0.076
"54","311900",0.058,0.107,0.797,0.037
"55","312000",0.068,0.136,0.747,0.05
"56","312100",0.064,0.13,0.753,0.054
"57","312200",0.118,0.213,0.669,0
"58","313000",0.058,0.119,0.824,0
"59","313000",0.058,0.119,0.824,0
"60","314000",0.055,0.079,0.867,0
"61","315-60",0.053,0.074,0.872,0
"62","315000",0.05,0.076,0.875,0
"63","316000",0.067,0.067,0.862,0
"64","321000",0.051,0.122,0.827,0
"65","321100",0.033,0.11,0.858,0
"66","321200",0.064,0.129,0.807,0
"67","321900",0.055,0.124,0.821,0
"68","322000",0.078,0.13,0.79,0
"69","322100",0.096,0.215,0.685,0
"70","322200",0.072,0.098,0.83,0
"71","323000",0.069,0.086,0.845,0
"72","324000",0.179,0.238,0.582,0
"73","325000",0.17,0.229,0.601,0
"74","325100",0.173,0.239,0.587,0
"75","325200",0.175,0.211,0.613,0
"76","325300",0.129,0.187,0.686,0
"77","325400",0.223,0.304,0.471,0.001
"78","325500",0.119,0.159,0.725,0
"79","325600",0.103,0.162,0.735,0
"80","325900",0.12,0.129,0.752,0
"81","326000",0.09,0.094,0.816,0
"82","326100",0.09,0.092,0.818,0
"83","326200",0.089,0.105,0.806,0
"84","327000",0.075,0.145,0.78,0
"85","327100",0.096,0.109,0.797,0
"86","327200",0.08,0.115,0.805,0
"87","327300",0.062,0.156,0.783,0
"88","3274,9",0.089,0.166,0.745,0
"89","327400",0.084,0.21,0.699,0
"90","327900",0.091,0.156,0.754,0
"91","331000",0.089,0.162,0.749,0
"92","331100",0.079,0.268,0.654,0
"93","331200",0.09,0.126,0.786,0
"94","331300",0.087,0.156,0.756,0
"95","331400",0.119,0.143,0.738,0
"96","331500",0.083,0.113,0.804,0
"97","332000",0.102,0.098,0.799,0
"98","332100",0.104,0.087,0.809,0
"99","332200",0.128,0.069,0.795,0
"100","332300",0.1,0.147,0.753,0
"101","332400",0.108,0.146,0.745,0
"102","332500",0.148,0.074,0.782,0
"103","332600",0.094,0.078,0.824,0
"104","332700",0.086,0.055,0.859,0
"105","332710",0.084,0.054,0.862,0
"106","332720",0.094,0.059,0.849,0
"107","332800",0.075,0.059,0.866,0
"108","332900",0.132,0.106,0.758,0
"109","333000",0.189,0.108,0.703,0
"110","333100",0.151,0.12,0.73,0
"111","333200",0.266,0.114,0.622,0
"112","333300",0.249,0.122,0.629,0
"113","333400",0.133,0.109,0.758,0
"114","333500",0.174,0.068,0.758,0
"115","333600",0.248,0.12,0.633,0
"116","333900",0.189,0.113,0.699,0
"117","334000",0.462,0.116,0.422,0
"118","334100",0.639,0.125,0.236,0
"119","334200",0.468,0.114,0.414,0
